respondent_id,party_id,V162313,V162095,V162096,V162097,V162098,V162099,V162100,V162101,V162102,V162103,V162104,V162105,V162106,V162107,V162108,V162109,V162110,V162111,V162112,V162113
1,Democrat,0,70,50,50,50,70,70,70,70,15,70,50,15,100,50,50,70,50,70,15
2,Democrat,0,50,50,50,50,50,40,60,50,50,50,50,50,50,50,50,40,50,70,50
3,Independent,15,40,50,50,60,60,70,50,50,70,50,50,60,50,60,50,70,50,70,30
4,Independent,50,85,70,70,85,85,50,70,70,85,50,70,85,85,85,50,85,85,85,15
5,Republican,50,70,50,85,70,100,50,85,85,85,60,50,100,100,85,40,85,85,100,100
6,Independent,40,60,40,30,70,100,40,40,85,100,40,85,70,85,100,70,85,70,60,15
7,Independent,0,15,50,15,30,50,60,60,50,50,30,30,30,60,50,50,100,30,70,15
8,Independent,50,50,50,50,60,50,50,50,70,50,60,50,50,50,50,60,85,50,85,50
9,Independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Republican,15,70,15,0,40,85,40,85,30,50,0,50,60,100,85,30,100,50,85,0
12,Republican,50,15,85,85,85,85,50,40,40,85,30,60,70,85,70,15,70,60,70,85
13,Republican,0,50,15,50,50,60,50,50,50,60,50,60,50,85,70,50,60,15,70,50
14,Republican,70,15,70,85,70,70,60,30,70,85,40,60,60,60,85,15,70,70,100,85
15,Democrat,15,85,100,85,85,100,70,100,100,100,60,100,100,100,100,70,85,100,100,70
16,Republican,85,15,100,85,50,100,40,30,70,100,30,50,100,50,100,0,85,100,100,100
17,Democrat,40,50,50,40,60,100,40,50,70,50,60,60,50,85,100,60,85,50,85,70
18,Democrat,40,60,50,60,85,100,50,85,85,50,60,60,40,85,50,85,70,50,50,40
19,Democrat,15,10,40,70,75,50,40,60,90,100,60,90,40,50,90,40,100,90,90,10
20,Independent,0,100,50,15,50,100,85,100,60,50,60,85,50,100,100,70,85,0,85,15
21,Independent,0,NA,50,50,70,100,60,NA,50,50,50,60,0,60,50,85,100,50,70,50
22,Independent,0,60,60,70,50,70,60,40,50,85,40,70,85,85,85,NA,85,70,50,70
23,Independent,0,85,50,50,50,100,60,50,40,100,60,100,50,85,100,50,100,100,100,50
24,Independent,100,30,100,100,85,100,70,0,60,100,15,50,85,60,100,0,85,85,100,85
25,Independent,40,85,60,40,60,60,40,70,60,40,60,50,60,100,70,50,100,15,70,50
26,Republican,30,15,70,60,70,100,40,40,85,100,70,85,100,85,100,50,85,100,70,85
27,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Democrat,85,85,60,60,50,85,85,85,70,70,70,85,70,70,85,70,100,50,50,50
29,Independent,60,100,0,15,15,60,60,100,60,0,85,50,60,100,70,100,100,0,60,0
30,Democrat,100,85,40,50,40,100,50,60,50,50,50,50,100,100,50,50,40,50,50,50
31,Republican,30,15,50,50,50,50,40,50,60,50,15,60,60,50,60,0,70,50,70,40
32,Independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Democrat,0,60,40,50,30,40,50,40,40,0,40,60,0,60,60,50,30,0,30,0
34,Independent,50,70,70,70,85,100,85,60,85,100,70,100,60,60,70,85,70,85,100,70
35,Republican,100,70,100,85,100,70,40,40,50,100,40,50,100,100,100,60,30,100,60,100
36,Independent,NA,50,30,15,70,50,70,85,70,30,60,50,15,100,50,50,100,0,NA,0
37,Democrat,60,50,40,30,60,50,40,60,60,50,60,50,50,85,50,60,85,50,60,40
38,Republican,0,100,85,100,50,100,60,85,50,100,30,70,100,85,100,40,85,100,100,100
39,Democrat,0,100,50,0,85,85,100,100,50,50,100,85,0,100,100,0,100,50,100,0
40,Independent,15,20,10,5,60,80,5,60,75,90,5,80,80,80,80,50,90,80,90,2
41,Republican,60,15,85,70,60,70,70,40,70,70,70,70,70,70,70,0,60,70,70,70
42,Independent,100,85,70,50,100,100,85,85,85,85,60,50,50,100,70,50,85,85,70,50
43,Independent,0,30,40,40,85,85,30,40,60,30,15,50,50,100,50,70,100,40,70,15
44,Republican,50,15,50,70,70,60,15,30,60,NA,40,30,NA,30,50,30,30,50,70,50
45,Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Republican,30,60,50,75,75,50,60,50,60,50,40,50,40,60,50,60,85,50,80,30
48,Democrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Democrat,15,60,70,40,60,85,60,70,70,70,50,40,70,85,70,70,100,70,85,15
50,Republican,50,15,85,70,50,85,50,30,60,50,15,50,50,50,50,15,50,50,85,50
51,Independent,30,NA,60,70,50,85,50,70,0,100,50,85,70,70,70,50,85,100,70,40
52,Republican,60,NA,50,50,30,85,40,50,50,50,30,40,NA,40,NA,40,40,NA,70,NA
53,Republican,70,70,85,70,70,85,40,60,50,50,50,50,70,70,50,30,85,70,70,70
54,Independent,30,50,50,50,30,60,50,60,20,50,20,50,20,50,50,NA,70,50,60,50
55,Republican,85,85,NA,85,85,100,70,70,70,85,50,70,85,100,85,40,85,85,85,85
56,Republican,50,50,50,50,85,85,85,50,70,50,85,70,50,100,70,50,85,50,70,75
57,Independent,50,50,50,50,50,60,50,50,50,50,50,50,50,50,50,50,100,50,60,50
58,Democrat,60,50,60,50,50,60,50,70,50,50,40,50,100,100,100,50,100,30,85,60
59,Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,Independent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,Republican,85,15,85,85,70,85,50,40,70,100,40,40,85,70,85,40,85,100,85,85
62,Independent,40,70,50,50,70,60,70,50,50,50,40,50,50,85,50,30,100,50,85,60
63,Independent,15,60,85,50,40,85,30,85,70,70,60,50,50,60,40,50,100,40,100,30
64,Republican,75,30,85,80,70,100,40,60,85,80,40,50,80,60,100,30,60,85,100,85
65,Republican,50,50,50,50,50,50,50,50,50,50,15,50,40,50,50,50,40,50,50,50
